alcohol,melting point / K,boiling point / K,molar mass / g/mol,degree,number of carbons in the longest chain,number of branch chains,average distance of branch chain from the OH carbon,position of OH carbon,average number of carbons in branch chain
methanol,176,337.8,32.04,1,0,0,0,1,0
ethanol,159,351.5,46.07,1,2,0,1,1,0
1-propanol,146.7,370.3,60.1,1,3,0,2,1,0
2-propanol,185.75,355.5,60.1,2,3,0,1,2,0
1-butanol,188,390.6,74.12,1,4,0,3,1,0
2-butanol,,371.2,74.12,2,4,0,2,2,0
2-methyl-1-propanol,165.15,380.8,74.12,1,3,1,1,1,1
2-methyl-2-propanol,298.3,355.5,74.12,3,3,1,0,2,1
1-pentanol,194.35,411,88.15,1,5,0,4,1,0
2-pentanol,,392,88.15,2,5,0,3,2,0
3-pentanol,,388,88.15,2,5,0,2,3,0
2-methyl-1-butanol,,402,88.15,1,4,1,1,1,1
3-methyl-1-butanol,,404,88.15,1,4,1,2,1,1
2-methyl-2-butanol,264.2,375.1,88.15,3,4,1,0,2,1
3-methyl-2-butanol,,385,88.15,2,4,1,1,2,1
"2,2-dimethyl-1-propanol",327,385,88.15,1,3,2,1,1,1
1-hexanol,225,430,102.17,1,6,1,5,1,0
2-hexanol,,411,102.17,2,6,1,4,2,0
3-hexanol,,407,102.17,2,6,1,3,3,0
2-methyl-1-pentanol,,421,102.17,1,5,1,1,1,1
3-methyl-1-pentanol,,426,102.17,1,5,1,2,1,1
4-methyl-1-pentanol,,423,102.17,1,5,1,3,1,1
2-methyl-2-pentanol,,395,102.17,3,5,1,0,2,1
3-methyl-2-pentanol,,407,102.17,2,5,1,1,2,1
4-methyl-2-pentanol,,405,102.17,2,5,1,2,2,1
2-methyl-3-pentanol,,398,102.17,2,5,1,1,3,1
3-methyl-3-pentanol,249.55,395,102.17,3,5,1,0,3,1
2-ethyl-1-butanol,,421,102.17,1,4,1,1,1,2
"2,2-dimethyl-1-butanol",,409,102.17,1,4,2,1,1,1
"2,3-dimethyl-1-butanol",,415,102.17,1,4,2,1.5,1,1
"3,3-dimethyl-1-butanol",,415,102.17,1,4,2,2,1,1
"2,3-dimethyl-2-butanol",262.75,392,102.17,3,4,2,0.5,2,1
"3,3-dimethyl-2-butanol",,393,102.17,2,4,2,1,2,1
1-heptanol,238.25,448,116.2,1,7,1,6,1,0
2-heptanol,,432,116.2,2,7,1,5,2,0
3-heptanol,,425.15,116.2,2,7,1,4,3,0
4-heptanol,,428,116.2,2,7,1,3,4,0
2-methyl-1-hexanol,,436,116.2,1,6,1,1,1,1
3-methyl-1-hexanol,,445.35,116.2,1,6,1,2,1,1
4-methyl-1-hexanol,,446.15,116.2,1,6,1,3,1,1
5-methyl-1-hexanol,,440.65,116.2,1,6,1,4,1,1
2-methyl-2-hexanol,,414,116.2,3,6,1,0,2,1
3-methyl-2-hexanol,,424.65,116.2,2,6,1,1,2,1
4-methyl-2-hexanol,,421.15,116.2,2,6,1,2,2,1
5-methyl-2-hexanol,,422.2,116.2,2,6,1,3,2,1
2-methyl-3-hexanol,,418,116.2,2,6,1,1,3,1
3-methyl-3-hexanol,,414,116.2,3,6,1,0,3,1
4-methyl-3-hexanol,,422.65,116.2,2,6,1,1,3,1
5-methyl-3-hexanol,,420.15,116.2,2,6,1,2,3,1
2-ethyl-1-pentanol,,439.15,116.2,1,5,1,1,1,2
"2,2-dimethyl-1-pentanol",,427.15,116.2,1,5,2,1,1,1
"2,4-dimethyl-1-pentanol",,431,116.2,1,5,2,2,1,1
"3,4-dimethyl-1-pentanol",,438,116.2,1,5,2,2.5,1,1
3-ethyl-2-pentanol,,422.15,116.2,2,5,1,1,2,2
"2,3-dimethyl-2-pentanol",,410.65,116.2,3,5,2,0.5,2,1
"2,4-dimethyl-2-pentanol",,405,116.2,3,5,2,1,2,1
"4,4-dimethyl-2-pentanol",,410.65,116.2,2,5,2,2,2,1
3-ethyl-3-pentanol,260.81,415,116.2,3,5,1,0,3,2
"2,2-dimethyl-3-pentanol",282.45,409,116.2,2,5,2,1,3,1
"2,3-dimethyl-3-pentanol",,412.9,116.2,3,5,2,0.5,3,1
"2,4-dimethyl-3-pentanol",,411,116.2,2,5,2,1,3,1
2-ethyl-2-methyl-1-butanol,,429.65,116.2,1,4,2,1,1,1.5
"2,2,3-trimethyl-1-butanol",,429.65,116.2,1,4,3,1.333333333,1,1
1-octanol,257,468,130.23,1,8,1,7,1,0
2-octanol,,453,130.23,2,8,1,6,2,0
2-methyl-1-heptanol,,448.15,130.23,1,7,1,1,1,1
3-methyl-1-heptanol,,458.95,130.23,1,7,1,2,1,1
4-methyl-1-heptanol,,455.85,130.23,1,7,1,3,1,1
5-methyl-1-heptanol,,455.65,130.23,1,7,1,4,1,1
6-methyl-1-heptanol,,460.15,130.23,1,7,1,5,1,1
2-methyl-2-heptanol,,432,130.23,3,7,1,0,2,1
3-methyl-2-heptanol,,439.3,130.23,2,7,1,1,2,1
4-methyl-2-heptanol,,444.85,130.23,2,7,1,2,2,1
5-methyl-2-heptanol,,445.05,130.23,2,7,1,3,2,1
6-methyl-2-heptanol,212,445,130.23,2,7,1,4,2,1
2-methyl-3-heptanol,,433,130.23,2,7,1,1,3,1
3-methyl-3-heptanol,,443,130.23,3,7,1,0,3,1
4-methyl-3-heptanol,,428.15,130.23,2,7,1,1,3,1
5-methyl-3-heptanol,,426.55,130.23,2,7,1,2,3,1
6-methyl-3-heptanol,,442.85,130.23,2,7,1,3,3,1
2-methyl-4-heptanol,,439.45,130.23,2,7,1,2,4,1
3-methyl-4-heptanol,,443.15,130.23,2,7,1,1,4,1
4-methyl-4-heptanol,,434.2,130.23,3,7,1,0,4,1
2-ethyl-1-hexanol,,456,130.23,1,6,1,1,1,2
"2,2-dimethyl-1-hexanol",,445.65,130.23,1,6,2,1,1,1
3-ethyl-2-hexanol,,441.15,130.23,2,6,1,1,2,2
"2,3-dimethyl-2-hexanol",,424.15,130.23,3,6,2,0.5,2,1
"3,5-dimethyl-2-hexanol",,433.15,130.23,2,6,2,2,2,1
"5,5-dimethyl-2-hexanol",,439,130.23,2,6,2,3,2,1
3-ethyl-3-hexanol,,433.25,130.23,3,6,1,0,3,2
4-ethyl-3-hexanol,,436.15,130.23,2,6,1,1,3,2
"2,2-dimethyl-3-hexanol",,420,130.23,2,6,2,1,3,1
"2,4-dimethyl-3-hexanol",,434.2,130.23,2,6,2,1,3,1
"2,5-dimethyl-3-hexanol",,431,130.23,2,6,2,1.5,3,1
"3,4-dimethyl-3-hexanol",,434.15,130.23,3,6,2,0.5,3,1
"3,5-dimethyl-3-hexanol",,425.5,130.23,3,6,2,1,3,1
"4,4-dimethyl-3-hexanol",,432.35,130.23,2,6,2,1,3,1
2-propyl-1-pentanol,,453.15,130.23,1,5,1,1,1,3
2-ethyl-2-methyl-1-pentanol,,447.65,130.23,1,5,2,1,1,1.5
2-ethyl-4-methyl-1-pentanol,,449.65,130.23,1,5,2,2,1,1.5
"2,2,4-trimethyl-1-pentanol",,438.15,130.23,1,5,3,1.666666667,1,1
"2,4,4-trimethyl-1-pentanol",,443.65,130.23,1,5,3,2.333333333,1,1
3-ethyl-2-methyl-2-pentanol,,429.15,130.23,3,5,2,0.5,2,1.5
3-ethyl-4-methyl-2-pentanol,,437,130.23,2,5,2,1.5,2,1.5
"2,4,4-trimethyl-2-pentanol",,417.15,130.23,3,5,3,1.333333333,2,1
"3,3,4-trimethyl-2-pentanol",,437.9,130.23,2,5,3,1.333333333,2,1
"3,4,4-trimethyl-2-pentanol",,432.65,130.23,2,5,3,1.666666667,2,1
3-ethyl-2-methyl-3-pentanol,,432.15,130.23,3,5,2,0.5,3,1.5
"2,2,4-trimethyl-3-pentanol",,422,130.23,2,5,3,1,3,1
"2,3,4-trimethyl-3-pentanol",,429.65,130.23,3,5,3,0.666666667,3,1
"3,4,4-trimethyl-3-pentanol",,426.65,130.23,3,5,3,0.666666667,3,1
